ID,Number,Evidence,Speaker,Utterance
7,0,-,Input,Premise: Football player jumping to catch the ball with an empty stand behind him. Hypothesis: The football player catches the ball. Human1: neutral Human2: entailment
7,1,Unrelated,Human2,Let's tackle the next case.
7,2,TRUE,Human1,"Okay, so here I thought he jumps to catch, he might miss it. So it's unnecessary that he catches the ball."
7,3,TRUE,Human2,"Okay, so jump to jump into catch. So to catch is like a purpose, but doesn't indicate the result. Yeah, that's okay. Yeah, that makes sense. I think that was probably due to my understanding of the sentence itself. If like you interpret it in this way, I'm gonna agree. I thought this sentence was trying to describe a result like jump to catch. So basically it described both jump and the both, both jump and catch. But I think you're right, it just indicates the purpose."
7,4,TRUE,Human1,"Jumping to catch. Yeah, I think it's not very indicative of whether he actually caught it."
7,5,Unrelated,Human2,"Yeah, yeah. Right."
7,6,TRUE,Human1,I found a lot of neutrals probably because I was just thinking of giving me edge cases. 
7,7,Unrelated,Human2,"That no, I mean, like, that's a good thing. Like, okay, that's unrelated. We can talk about that later."
7,8,Unrelated,Human1,Yeah. Amazing. 
7,-,-,Output,Predict: neutral
8,0,-,Input,Premise: A man is cooking pies in the oven. Hypothesis: The oven has turkeys in it. Human1: neutral Human2: contradiction
8,1,Unrelated,Human2,So here
8,2,TRUE,Human1,I imagined a very big oven.
8,3,Unrelated,Human2,"Yeah. Right, right, right, right."
8,4,TRUE,Human1," So I don't know if people can actually do that, because I don't use an oven."
8,5,TRUE,Human2,"Basically, we can have like multiple layers in the oven, right? You can still do anything, everything. Yeah. I think I had a couple of annotations when I wrote them. I have the similar feeling, but I tend to just use like, which is the more, more likely scenario. Then, yeah, but I think after discussion, I'm more convinced that it should be like neutral. Yeah."
8,6,TRUE,Human1,"Yeah. I always go for neutral because I think this might be entailment. So again, I just"
8,7,TRUE,Human2,Think about corner cases. yeah
8,-,-,Output,Predict: neutral
9,0,-,Input,Premise: A group of young soccer players run down the field after the ball. Hypothesis: A group of people play soccer. Human1: neutral Human2: entailment
9,1,TRUE,Human1,"Yeah. I always go for neutral because I think this might be entailment. So again, I just"
9,2,TRUE,Human2,"yeah, unless the ball is not a like a real soccer ball, it can be like others."
9,3,TRUE,Human1,"Yeah, it can be any ball and they can probably be running to just like, get the ball, like it's probably gone somewhere. I mean, they were playing something, the ball went somewhere and they just went to catch it. I mean, from the field or something."
9,4,TRUE,Human2,"Yeah. I think the reason is, it says like young soccer players are choosing after the ball."
9,5,TRUE,Human1,"Yeah. Yeah. It can be an entailment because after the ball, yeah. So here we are making, if it's an entailment, we are also making the assumption that it's a soccer ball."
9,6,Unrelated,Human2,Yes.
9,7,TRUE,Human1,And the field is a soccer field. It can be a cricket field and a cricket ball.
9,8,Unrelated,Human2,"I agree with your case, actually. Okay. I'm persuaded."
9,-,-,Output,Predict: neutral
10,0,-,Input,Premise: A man in a white shirt is standing in a T-shirt booth. Hypothesis: A man in a black shirt getting a tattoo. Human1: contradiction Human2: neutral
10,1,-,Human1,Okay. What is this? 
10,2,FALSE,Human1,"Yeah. don't know. Yeah, because these are two men."
10,3,TRUE,Human2,It's not the man.
10,4,TRUE,Human1,Yeah. Yeah. I think it should be neutral because it can be different men.
10,-,-,Output,Predict: neutral
11,0,-,Input,Premise: The dog is walking in the snow. Hypothesis: The dog is cold Human1: neutral Human2: entailment
11,1,TRUE,Human2,"Okay. I think it's neutral. Yeah, because it can be like sunlight."
11,2,Unrelated,Human1,Yeah. Yeah. Right.
11,3,TRUE,Human2,Not necessarily for like a rain. It can also be for something just for fun.
11,4,Unrelated,Human1,Okay. So you're about this.
11,5,Unrelated,Human2,"Yeah, you go ahead. "
11,6,TRUE,Human1,"There are plenty of dogs with very thick fur, right? So if they are immune to like cold weather or the snow cold weather."
11,7,TRUE,Human2,Yeah. Yeah. Yeah. Yeah. There are some dogs that can actually survive the cold weathers or like they can wear clothes. Right.
11,8,TRUE,Human1,Yeah. Some of them have very thick fur. They aren't necessarily cold in this room. Yeah.
11,9,TRUE,Human2,Yeah. Makes sense. Yeah. And also the snow doesn't imply the temperature is low. It can be like the snow is melting. 
11,10,Unrelated,Human1,That's great.
11,-,-,Output,Predict: neutral
12,0,-,Input,Premise: A dune buggy traveling on sand. Hypothesis: A vehicle travels outdoors. Human1: neutral Human2: entailment
12,1,FALSE,Human2,Yeah. I guess maybe similar to sand is not necessary outdoor thing. But because is it the case? 
12,2,FALSE,Human1,I think that that was my thinking. Yeah.
12,3,TRUE,Human2,"Yeah. I think. Right. Right. Because it's on sand. I would assume like it's very, very sandy place with a lot of sand. So it's likely to be outdoor. Right. Okay."
12,4,Unrelated,Human1,Okay. That make sense. I think we should do entailment.
12,5,Unrelated,Human2,Yeah. 
12,-,-,Output,Predict: entailment
13,0,-,Input,Premise: A man in a hat and jacket standing on the sidewalk with a pile of trash in front of him. Hypothesis: The man in the hat is standing in the middle of the street. Human1: contradiction Human2: neutral
13,1,TRUE,Human1,One is sidewalk and the other is in the middle of the street. So.
13,2,TRUE,Human2,Yeah. Yeah. I miss that. You're right. Because I think the reason was I miss the word of sidewalk. Sidewalk. Yeah. Yeah. I thought it just like in front of a pile of trash and I thought trash doesn't imply it is it is in the middle of the road or something.
13,-,-,Output,Predict: contradiction
14,0,-,Input,Premise: Two dogs sit in front of a man dressed in native American attire. Hypothesis: Dogs are sitting close to the man. Human1: neutral Human2: entailment
14,1,TRUE,Human2,"Yeah. I think my interpretation of in front of is close. Like I talk to a person in front of another person. If like if like 10 meters away, I won't say it's in front of me. "
14,2,FALSE,Human1,"Yeah. I think it's probably I mean, you might have guessed, but I was just thinking that front just means like in front. But yeah, that doesn't necessarily indicate distance. Right. If you think of why a person would like from a pragmatics point of view, like why a Human would say two dogs sit in front of a man."
14,3,Unrelated,Human2,Yeah.
14,4,TRUE,Human1,It probably indicates that they are close to the man.
14,5,TRUE,Human2,"Yeah. That's my interpretation. Because I won't say like say Grammy is in front of me, even though like Grammy is actually in the in the front direction of me."
14,6,TRUE,Human1,"Yeah. And if there was something closer than the man in Native American attire, the Human would have mentioned that. Like they would have said two dogs sit in front of say a car or something. If the car was closer to the dogs than the man. Yeah. So it's all relative. Like the closest thing to the dogs might be the man. Yeah. Yeah. I think we should go with that."
14,7,Unrelated,Human2,Yeah.
14,8,Unrelated,Human1,Okay.
14,-,-,Output,Predict: entailment
15,0,-,Input,Premise: A baseball pitcher wearing a purple and white uniform throwing a baseball from the mound. Hypothesis: A guy is chilling at home. Human1: contradiction Human2: neutral
15,1,Unrelated,Human1,This is neutral. I think.
15,2,TRUE,Human2,Yeah. Because I think the guy is not necessarily. Yeah.
15,3,Unrelated,Human1,Yeah.
15,-,-,Output,Predict: neutral
16,0,-,Input,Premise: The man is walking the bride down the aisle. Hypothesis: A man is hitting his wife. Human1: neutral Human2: contradiction
16,1,Unrelated,Human1,I think. It's again. 
16,2,TRUE,Human2,Okay. So you think the man is not the same man as the man. Right.
16,3,Unrelated,Human1,Yeah.
16,4,Unrelated,Human2,Yeah.
16,5,TRUE,Human1,"And because if they would have written a man is blocking the blind down the island, the man is hitting his wife, then it's definitely controversial."
16,6,TRUE,Human2,"Yeah. Yeah. Yeah. I agree. I just didn't tell the Nelson's difference before. But after your explanation, I think they don't necessarily be the same man. So it can be just the man walk his bride and then the other man hit the wife. Yeah."
16,7,Unrelated,Human1,Yeah.
16,8,Unrelated,Human2,Nice.
16,9,Unrelated,Human1,We tend to go to neutral for most.
16,10,Unrelated,Human2,"Yeah. Yeah. Yeah. Yeah. Yeah. Yeah. I mean, like, this is a very interesting observation. I never worked on this data set before. And I guess I don't know what are the ground truth label for this example. That would be interesting."
16,-,-,Output,Predict: neutral
