ID,DA,Evidence,Speaker,Utterance
9,0,-,Input,Premise: A downtown shot of a man on his cellphone under an awning. Hypothesis: A golfer swings his club at the ball while his friends laugh. Human1: contradiction Human2: neutral
9,1,FALSE,Human2,"A downtown shot of a man on his cell phone under an awning, a golfer swings his club at the ball while his friends laugh. Um, yeah, for this one, I put neutral because I guess I didn't assume that that man was the golfer. I kind of pictured, like, I kind of pictured like one man's on his cell phone and then like another golfer is like, uh, swinging the club. So I don't, I don't know. Did you think the golfer was like the same person?"
9,2,Unrelated,Human1,"Um, yeah, this is a bit confusing."
9,3,Unrelated,Human2,Yeah.
9,4,TRUE,Human1,"Yeah. The golfer swings his ball, okay. The reason why you put contradiction, what's an awning?"
9,5,TRUE,Human2,"Oh, it's like, um, it's like the edge of a roof, but it's like outside."
9,6,TRUE,Human1,"So I think, cause I saw the, the, the man, I don't know, so this is like a picture, right? A picture of a man on his cell phone. So it's probably talking or browsing whatever he's doing on this one. And then a golfer swings his club at the ball with his, while his friends laugh. So I was like, yeah, if you're on your phone, you probably won't be the same person with this this golfer. "
9,7,FALSE,Human2,"Yeah. I was a bit confused for this one too, because I kind of pictured it as like one scene of golf, they're at a golf course and one man is like playing golf and another is like talking on his cell phone, but I don't know if like premise and hypothesis always means that it's like the same person."
9,8,TRUE,Human1,"I'm referring to, yeah, that's, I'm not sure, I think it's neutral will work, because, yeah,"
9,9,Unrelated,Human2,I'm not really sure. Neutral or contradiction?
9,10,TRUE,Human1,"Yeah, but I don't know if it's neutral or contradiction. And then like the mentioning of friends laughing, they don't even mention other people on the other side."
9,11,TRUE,Human2,"Yeah, that's true. Maybe let's do contradiction, because maybe it's, I think, I feel like this is supposed to be direct, right? Like they probably don't want you to think when they heard about it."
9,-,-,Output,Predict: contradiction
10,0,-,Input,Premise: A young girl holding a stuffed pig smiles. Hypothesis: A young girl holds her stuffed bear. Human1: contradiction Human2: neutral
10,1,TRUE,Human2,"Okay. For number 10, I put neutral because, oh, I guess it's pretty simple. I just thought she could be holding a stuffed pig and a stuffed bear at the same time, so."
10,2,Unrelated,Human1,Oh. Okay. Yeah. Yeah. I guess.
10,3,Unrelated,Human2,"Yeah. Maybe neutral. Yeah, I was kind of confused, some of them, like, I don't know."
10,4,FALSE,Human1,"I was thinking this in terms of like, if you're trying to describe like an image, for example, a picture, like trying to caption it, I put contradictions, like, oh, you're just going to describe the only thing, like, or the thing that stands out that they're holding. So I was like, okay, stuffed pig, they're smiling. And the other side is like a stuffed bear. So I was thinking in terms of like, oh, somebody might have confused the pig for, I don't know if pigs look like bears."
10,5,TRUE,Human2,"I guess not really, but yeah, I don't know. I think for me, I thought of it a bit differently, which might be why we labeled things differently because I thought if it was like, if like the premise is true, does that mean anything about the hypothesis? But I didn't think of anybody trying to like describe an image. I just thought of like, like, generally, if this is like happening."
10,6,TRUE,Human1,"if this is true, it doesn't mean the other is true, I think neutral is, yeah."
10,7,Unrelated,Human2,Yeah. I don't remember how this data set was like made though.
10,-,-,Output,Predict: neutral
11,0,-,Input,"Premise: Three women, two wearing red shirts and one wearing a purple shirt, and a man, wearing a light blue shirt, jump on a basketball court with balls in their hands. Hypothesis: Some people's are playing basketball in basketball court Human1: entailment Human2: neutral"
11,1,FALSE,Human2,"So yeah, yeah, I think like, I like had a similar, like similar thought for like the next one. I thought like they could be like on a basketball court and like they're jumping with balls in their hands, but not playing basketball. I don't know, maybe that's too like far-fetched as well, so."
11,2,TRUE,Human1,So they could just be holding balls in their basketball court.
11,3,FALSE,Human2,"Yeah, they could be like practicing or something because I don't know, in gym class, we like, we just all practice like shooting the basketball in, but we're not like playing basketball, if that makes sense."
11,4,TRUE,Human1,"Playing and practicing is different. I guess like for me, how I think about playing, it's the same thing. I look at practicing versus like competing, it's like different, that's why I distinguish like, okay, if you're one team against another, like you guys are competing against each other, but if you're practicing, it's like you're just trying to, whatever, develop your skills, but it's all playing, both of them are playing, they just have different goals."
11,5,TRUE,Human2,"Yeah. I think this one is a bit far-fetched to be neutral, actually, let's do entailment. Yeah. Oh, just cause I thought like when I was like practicing basketball, it's kind of like, you're kind of only doing like one part of the game. So it's not, there's like no rules or anything. It's just kind of like, you just like do that one like movement, but I don't know."
11,6,Unrelated,Human1,"Yeah, I'm really not sure I spot entailment over neutral."
11,-,-,Output,Predict: entailment
12,0,-,Input,"Premise: A man in a green, black, and white spandex sports uniform is riding a bike. Hypothesis: A guy isn't afraid to fall down and spoiled his bright uniform. Human1: entailment Human2: neutral"
12,1,TRUE,Human2,"I wrote a guy, I wrote like neutral for the next one too, cause I thought, I guess the guy is wearing like a colorful uniform, but I don't know if that means he isn't afraid to fall down and spoil it. He could just be like wearing it, but he's still like a bit afraid to fall down."
12,2,FALSE,Human1,"So yeah, I agree with you, but how I thought about it was like, I mean, if you're a biker, you always know there's that possibility of you going to fall down, there's always that chance. So it's like, you've already accepted that, Hey, there's a chance of going to fall down. You're not scared of falling down. You're just like, okay, that's a risk that comes with like biking. So that's how I was thinking about it."
12,3,Unrelated,Human2,Yeah.
12,4,TRUE,Human1,"But I guess like, I think it's better to say you're not extremely scared. Yes, willing to take the chance, but that doesn't mean you're not afraid."
12,5,TRUE,Human2,"Yeah. I guess I was just thinking that like, we, I guess if I'm just like told that like this guy is like riding a bike in his bright uniform, like, I think that doesn't really like tell me like what his emotions are at that point. So that's why I put neutral."
12,6,FALSE,Human1,"Okay. I'm not saying, Oh, I, I chose contradiction because how I think of like holding on to it."
12,7,Unrelated,Human2,Yeah. Sorry. Do we agree on the last one yet? Sorry.
12,8,Unrelated,Human1,"Yeah. Oh, sorry."
12,9,Unrelated,Human2,Do we agree on the last one yet?
12,10,Unrelated,Human1,Which one? Talk neutral.
12,11,Unrelated,Human2,OK. Sure. Yeah.
12,12,Unrelated,Human1,Cause it doesn't say.
12,-,-,Output,Predict: neutral
13,0,-,Input,Premise: Someone holding a bag of oranges walking outside. Hypothesis: Someone is juggling oranges Human1: contradiction Human2: neutral
13,1,TRUE,Human1,"And yeah, I was saying for 13, I chose contradiction because like, I see holding as just like holding and not doing anything. You just like basically holding, and then juggling is the whole like throwing it out and doing all those like fancy stuff with like the oranges. So I was like, Hey, at the same time, there's no way you could be holding them and also throwing them out."
13,2,Unrelated,Human2,Yeah. I agree.
13,3,Unrelated,Human1,Contradiction.
13,4,Unrelated,Human2,"Yeah. I'm not sure why I put neutral. Like I think maybe I was just like overly, yeah, I think it should be contradiction."
13,5,Unrelated,Human1,Okay.
13,6,Unrelated,Human2,Okay. Cool. So it looks like we did all of them.
13,-,-,Output,Predict: contradiction
